Voz,Compasso,Grupos (notas),Peso Métrico,Tensão Prolongacional
Voz 4,9,"A3, B3, C4, D4, C4, B3, A3, G3; C4","3, 1, 1, 1, 1, 1, 1, 1, 2","57.0, 59.0, 60.0, 62.0, 60.0, 59.0, 57.0, 55.0, 60.0"
Voz 4,10,"G2, A2, B2","1, 1, 1","43.0, 45.0, 47.0"
Voz 4,11,"C3, D3, C3, B2; E3; A2; D3, E3, D3, C3","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","48.0, 50.0, 48.0, 47.0, 52.0, 45.0, 50.0, 52.0, 50.0, 48.0"
Voz 4,12,"B2; E3, D3, C3; F3, E3","3, 1, 1, 2, 1, 1","47.0, 52.0, 50.0, 48.0, 53.0, 52.0"
Voz 4,13,"E3, D3, E3, F3, E3, D3, E3","3, 1, 1, 2, 1, 1, 1","52.0, 50.0, 52.0, 53.0, 52.0, 50.0, 52.0"
Voz 4,14,A2,3,45.0
Voz 4,15,"G2, A2, B2, C3, D3, C3, B2; E3","1, 1, 1, 2, 1, 1, 1, 1","43.0, 45.0, 47.0, 48.0, 50.0, 48.0, 47.0, 52.0"
Voz 4,16,"A2; D3, E3, D3, C3, B2, B-2, A2, G2","3, 1, 1, 1, 1, 2, 1, 1, 1","45.0, 50.0, 52.0, 50.0, 48.0, 47.0, 46.0, 45.0, 43.0"
Voz 4,17,"A2; F#3, G3; E3, D3, E3, F3","3, 1, 1, 1, 2, 1, 1","45.0, 54.0, 55.0, 52.0, 50.0, 52.0, 53.0"
Voz 4,18,"G3, A3, G3, F3; B-3; E3; A3, B3, A3, G3","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","55.0, 57.0, 55.0, 53.0, 58.0, 52.0, 57.0, 59.0, 57.0, 55.0"
Voz 4,19,"F3, E3, F3; D3; G3, A3; D3","3, 1, 1, 1, 1, 1, 2","53.0, 52.0, 53.0, 50.0, 55.0, 57.0, 50.0"
Voz 4,20,"E3, D3, C3, B2, A2, G2, F#2, E2; E3, F#3, G3","1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1","52.0, 50.0, 48.0, 47.0, 45.0, 43.0, 42.0, 40.0, 52.0, 54.0, 55.0"
Voz 4,21,"G3, A3, G3, F#3; D3; G3","3, 1, 1, 1, 1, 2","55.0, 57.0, 55.0, 54.0, 50.0, 55.0"
Voz 4,22,"G3, A3, B3, C4","3, 2, 1, 1","55.0, 57.0, 59.0, 60.0"
Voz 4,23,"F3; A3, G3, F3, E3, D3, C3, B2, C3, D3, E3, F3, G3; G2","3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1","53.0, 57.0, 55.0, 53.0, 52.0, 50.0, 48.0, 47.0, 48.0, 50.0, 52.0, 53.0, 55.0, 43.0"
Voz 4,24,C3,3,48.0
Voz 4,25,C3,3,48.0
Voz 4,26,C3,3,48.0
Voz 4,27,C3,3,48.0
