pitch,duration,offset,velocity,instrument,is_rest
62,12.0,2000.0,64,Trombone (2),0
64,32.0,2750.0,64,Trombone (2),0
62,32.0,2875.0,64,Trombone (2),0
60,8.0,3000.0,64,Trombone (2),0
66,8.0,3500.0,64,Trombone (2),0
59,8.0,0.0,64,Trombone (2),0
64,12.0,500.0,64,Trombone (2),0
66,16.0,1250.0,64,Trombone (2),0
64,16.0,1500.0,64,Trombone (2),0
62,16.0,1750.0,64,Trombone (2),0
60,2.0,2000.0,64,Trombone (2),0
,16.0,0.0,0,Trombone (2),1
62,16.0,250.0,64,Trombone (2),0
60,16.0,500.0,64,Trombone (2),0
59,16.0,750.0,64,Trombone (2),0
57,16.0,1000.0,64,Trombone (2),0
55,16.0,1250.0,64,Trombone (2),0
57,16.0,1500.0,64,Trombone (2),0
54,16.0,1750.0,64,Trombone (2),0
55,8.0,2000.0,64,Trombone (2),0
59,8.0,2500.0,64,Trombone (2),0
60,8.0,3000.0,64,Trombone (2),0
62,8.0,3500.0,64,Trombone (2),0
64,12.0,0.0,64,Trombone (2),0
65,32.0,750.0,64,Trombone (2),0
64,32.0,875.0,64,Trombone (2),0
62,8.0,1000.0,64,Trombone (2),0
67,8.0,1500.0,64,Trombone (2),0
60,8.0,2000.0,64,Trombone (2),0
65,12.0,2500.0,64,Trombone (2),0
67,16.0,3250.0,64,Trombone (2),0
65,16.0,3500.0,64,Trombone (2),0
64,16.0,3750.0,64,Trombone (2),0
62,4.0,0.0,64,Trombone (2),0
64,8.0,1000.0,64,Trombone (2),0
62,8.0,1500.0,64,Trombone (2),0
62,8.0,2000.0,64,Trombone (2),0
55,8.0,2500.0,64,Trombone (2),0
55,4.0,3000.0,64,Trombone (2),0
55,8.0,0.0,64,Trombone (2),0
48,8.0,500.0,64,Trombone (2),0
50,8.0,1000.0,64,Trombone (2),0
52,8.0,1500.0,64,Trombone (2),0
53,12.0,2000.0,64,Trombone (2),0
55,32.0,2750.0,64,Trombone (2),0
53,32.0,2875.0,64,Trombone (2),0
52,8.0,3000.0,64,Trombone (2),0
57,8.0,3500.0,64,Trombone (2),0
50,8.0,0.0,64,Trombone (2),0
55,12.0,500.0,64,Trombone (2),0
57,16.0,1250.0,64,Trombone (2),0
55,16.0,1500.0,64,Trombone (2),0
53,16.0,1750.0,64,Trombone (2),0
52,16.0,2000.0,64,Trombone (2),0
50,16.0,2250.0,64,Trombone (2),0
52,16.0,2500.0,64,Trombone (2),0
